pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-72203	169	0.01	Up	2.58489740411375e-12	2.22818156234606e-09	primary	fixed_0.01
R-HSA-72172	132	0.01	Up	4.80059111140243e-10	1.45199190332359e-07	primary	fixed_0.01
R-HSA-72163	131	0.01	Up	5.05333609045333e-10	1.45199190332359e-07	primary	fixed_0.01
R-HSA-2990846	55	0.01	Up	1.77411356982562e-09	3.82321474297422e-07	primary	fixed_0.01
R-HSA-3108232	53	0.01	Up	3.04790121562155e-09	4.74512767763939e-07	primary	fixed_0.01
R-HSA-9770562	95	0.01	Up	3.69921883699868e-09	4.74512767763939e-07	primary	fixed_0.01
R-HSA-6799198	49	0.01	Down	3.85335194239857e-09	4.74512767763939e-07	primary	fixed_0.01
R-HSA-3247509	50	0.01	Up	1.15971479298397e-08	1.17537576423065e-06	primary	fixed_0.01
R-HSA-611105	103	0.01	Down	1.28924935533909e-08	1.17537576423065e-06	primary	fixed_0.01
R-HSA-1428517	150	0.01	Down	1.53383959113827e-08	1.17537576423065e-06	primary	fixed_0.01
R-HSA-72187	105	0.01	Up	1.57314394746963e-08	1.17537576423065e-06	primary	fixed_0.01
R-HSA-9842860	21	0.01	Up	1.63625396412619e-08	1.17537576423065e-06	primary	fixed_0.01
R-HSA-4839726	89	0.01	Up	4.1116506171533e-08	2.72634063998934e-06	primary	fixed_0.01
R-HSA-9918481	138	0.01	Up	5.70437103188657e-08	3.5122627353473e-06	primary	fixed_0.01
R-HSA-9845323	15	0.01	Up	3.27175881389633e-07	1.76019802843278e-05	primary	fixed_0.01
R-HSA-212165	64	0.01	Up	3.32437735951761e-07	1.76019802843278e-05	primary	fixed_0.01
R-HSA-3108214	29	0.01	Up	3.47138822312729e-07	1.76019802843278e-05	primary	fixed_0.01
R-HSA-9932444	59	0.01	Up	4.13406857566074e-07	1.97975950678864e-05	primary	fixed_0.01
R-HSA-8953854	414	0.01	Up	4.42438837600923e-07	2.00727514743156e-05	primary	fixed_0.01
R-HSA-425407	33	0.01	Down	4.97400095373247e-07	2.14379441105869e-05	primary	fixed_0.01
R-HSA-5419276	83	0.01	Down	5.74048742091986e-07	2.35633340801568e-05	primary	fixed_0.01
R-HSA-382551	184	0.01	Down	7.42519114517046e-07	2.90932489415315e-05	primary	fixed_0.01
R-HSA-5389840	85	0.01	Down	8.03775310563809e-07	3.01241007698262e-05	primary	fixed_0.01
R-HSA-5368287	90	0.01	Down	9.07127559102712e-07	3.15548087440076e-05	primary	fixed_0.01
R-HSA-5368286	84	0.01	Down	9.15162666589548e-07	3.15548087440076e-05	primary	fixed_0.01
R-HSA-4570464	23	0.01	Up	2.28160035674911e-06	7.56438272122206e-05	primary	fixed_0.01
R-HSA-3214858	19	0.01	Up	3.3596505519163e-06	0.000107259954657476	primary	fixed_0.01
R-HSA-4551638	23	0.01	Up	4.16216499505303e-06	0.000128135222347704	primary	fixed_0.01
R-HSA-6809371	18	0.01	Down	5.8597257009016e-06	0.000168369451805906	primary	fixed_0.01
R-HSA-6805567	18	0.01	Down	5.8597257009016e-06	0.000168369451805906	primary	fixed_0.01
R-HSA-9705671	33	0.01	Up	6.93706204754465e-06	0.000192895080160758	primary	fixed_0.01
R-HSA-76002	84	0.01	Down	8.07619918558693e-06	0.000217552615561748	primary	fixed_0.01
R-HSA-9843745	21	0.01	Up	9.53945490290195e-06	0.000242912613849501	primary	fixed_0.01
R-HSA-9937383	77	0.01	Down	9.58123998942347e-06	0.000242912613849501	primary	fixed_0.01
R-HSA-6784531	29	0.01	Up	1.00899941989855e-05	0.000248502142843585	primary	fixed_0.01
R-HSA-936837	23	0.01	Down	1.12705889798422e-05	0.000269867991684	primary	fixed_0.01
R-HSA-159231	26	0.01	Up	1.43762283087868e-05	0.0003261133895309	primary	fixed_0.01
R-HSA-159234	26	0.01	Up	1.43762283087868e-05	0.0003261133895309	primary	fixed_0.01
R-HSA-392518	11	0.01	Down	2.13032989459802e-05	0.000467681737411167	primary	fixed_0.01
R-HSA-72202	46	0.01	Up	2.17021687893813e-05	0.000467681737411167	primary	fixed_0.01
R-HSA-3232142	18	0.01	Up	2.27240797117183e-05	0.000477759919792712	primary	fixed_0.01
R-HSA-9932451	14	0.01	Up	2.35995656754672e-05	0.000484352990767922	primary	fixed_0.01
R-HSA-9837999	70	0.01	Down	2.66387568837453e-05	0.000534014149622988	primary	fixed_0.01
R-HSA-9933939	10	0.01	Up	2.9049832951174e-05	0.000569112636452544	primary	fixed_0.01
R-HSA-1474244	50	0.01	Down	3.00163503338765e-05	0.00057497986639559	primary	fixed_0.01
R-HSA-4085377	19	0.01	Up	3.11529783466856e-05	0.000583779724670501	primary	fixed_0.01
R-HSA-109582	171	0.01	Down	3.53946402168914e-05	0.000649152763126816	primary	fixed_0.01
R-HSA-216083	15	0.01	Down	3.80815600888388e-05	0.000675246624931467	primary	fixed_0.01
R-HSA-112315	87	0.01	Down	3.83840888882156e-05	0.000675246624931467	primary	fixed_0.01
R-HSA-112316	104	0.01	Down	4.01823290419297e-05	0.000692743352682868	primary	fixed_0.01
R-HSA-9843940	11	0.01	Up	4.31365056577619e-05	0.000722875821515238	primary	fixed_0.01
R-HSA-9938024	52	0.01	Up	4.36073581424505e-05	0.000722875821515238	primary	fixed_0.01
R-HSA-983712	43	0.01	Down	4.46116767635146e-05	0.000725571044719804	primary	fixed_0.01
R-HSA-9934037	11	0.01	Up	6.01141177387241e-05	0.000959599435014448	primary	fixed_0.01
R-HSA-168276	22	0.01	Up	6.22784843646799e-05	0.000976073700406437	primary	fixed_0.01
R-HSA-9943965	14	0.01	Up	6.386484498209e-05	0.000983062435260028	primary	fixed_0.01
R-HSA-159230	21	0.01	Up	6.82698239337706e-05	0.00101463083156742	primary	fixed_0.01
R-HSA-159227	21	0.01	Up	6.82698239337706e-05	0.00101463083156742	primary	fixed_0.01
R-HSA-8939243	18	0.01	Up	7.84855820387648e-05	0.00114668765622738	primary	fixed_0.01
R-HSA-1169408	35	0.01	Up	8.00298933385023e-05	0.00114976280096315	primary	fixed_0.01
R-HSA-9937848	46	0.01	Up	8.73209015257557e-05	0.00123394454287215	primary	fixed_0.01
R-HSA-177243	23	0.01	Up	9.44377247744699e-05	0.00127212383303908	primary	fixed_0.01
R-HSA-159236	40	0.01	Up	9.78955945771688e-05	0.00127212383303908	primary	fixed_0.01
R-HSA-5619107	16	0.01	Up	0.000101828937911481	0.00127212383303908	primary	fixed_0.01
R-HSA-1855196	16	0.01	Up	0.000101828937911481	0.00127212383303908	primary	fixed_0.01
R-HSA-1855229	16	0.01	Up	0.000101828937911481	0.00127212383303908	primary	fixed_0.01
R-HSA-1855170	16	0.01	Up	0.000101828937911481	0.00127212383303908	primary	fixed_0.01
R-HSA-3301854	16	0.01	Up	0.000101828937911481	0.00127212383303908	primary	fixed_0.01
R-HSA-170822	16	0.01	Up	0.000101828937911481	0.00127212383303908	primary	fixed_0.01
R-HSA-168274	18	0.01	Up	0.000131696185442044	0.0015989029838175	primary	fixed_0.01
R-HSA-168333	18	0.01	Up	0.000131696185442044	0.0015989029838175	primary	fixed_0.01
R-HSA-180910	20	0.01	Up	0.000134054853950048	0.00160493450145752	primary	fixed_0.01
R-HSA-202733	30	0.01	Down	0.000152715577838437	0.00179253727982531	primary	fixed_0.01
R-HSA-9768727	23	0.01	Down	0.000153883710797069	0.00179253727982531	primary	fixed_0.01
R-HSA-162587	64	0.01	Up	0.000156018027234981	0.00179316719302071	primary	fixed_0.01
R-HSA-180746	20	0.01	Up	0.000175786500638408	0.00199378899408299	primary	fixed_0.01
R-HSA-168271	18	0.01	Up	0.000183292959870328	0.00205192897932757	primary	fixed_0.01
R-HSA-4615885	24	0.01	Up	0.000193657534957812	0.0021401640401748	primary	fixed_0.01
R-HSA-9694548	16	0.01	Down	0.000199380788145549	0.00217552201748687	primary	fixed_0.01
R-HSA-5696399	36	0.01	Up	0.000210000654075026	0.0022627570476584	primary	fixed_0.01
R-HSA-9824585	12	0.01	Up	0.000241106384490828	0.00256584819050733	primary	fixed_0.01
R-HSA-5173105	15	0.01	Down	0.000255313490431208	0.00265911165173979	primary	fixed_0.01
R-HSA-1500620	19	0.01	Up	0.00025912456931107	0.00265911165173979	primary	fixed_0.01
R-HSA-1474165	19	0.01	Up	0.00025912456931107	0.00265911165173979	primary	fixed_0.01
R-HSA-9945266	18	0.01	Up	0.0002803017208326	0.00280953585299653	primary	fixed_0.01
R-HSA-9976102	18	0.01	Up	0.0002803017208326	0.00280953585299653	primary	fixed_0.01
R-HSA-9839923	204	0.01	Up	0.000287021868171315	0.00284382586624912	primary	fixed_0.01
R-HSA-76005	50	0.01	Down	0.000303760739721657	0.00297547451863714	primary	fixed_0.01
R-HSA-165054	21	0.01	Up	0.000314788295285757	0.00304884843299239	primary	fixed_0.01
R-HSA-114608	47	0.01	Down	0.00036196353142042	0.00346680626760447	primary	fixed_0.01
R-HSA-112314	66	0.01	Down	0.000397330328229744	0.00376372244982461	primary	fixed_0.01
R-HSA-5696398	49	0.01	Up	0.000439796226047511	0.00412069942231472	primary	fixed_0.01
R-HSA-9937850	11	0.01	Up	0.000531913009330919	0.00493020445207798	primary	fixed_0.01
R-HSA-3214847	17	0.01	Up	0.000558289434630688	0.0051196329005495	primary	fixed_0.01
R-HSA-5578775	20	0.01	Down	0.000571538653608512	0.00518596125695303	primary	fixed_0.01
R-HSA-418597	11	0.01	Down	0.000610399347988018	0.00548087747880908	primary	fixed_0.01
R-HSA-74160	295	0.01	Up	0.00064974664541283	0.00577403719944185	primary	fixed_0.01
R-HSA-917977	13	0.01	Down	0.000677402107949156	0.00592144990816396	primary	fixed_0.01
R-HSA-73894	122	0.01	Up	0.000680073713350618	0.00592144990816396	primary	fixed_0.01
R-HSA-3899300	16	0.01	Up	0.000763884795046557	0.00658468693330132	primary	fixed_0.01
R-HSA-77595	14	0.01	Up	0.000793020179786108	0.00676815242550124	primary	fixed_0.01
R-HSA-162599	54	0.01	Up	0.000802551150115749	0.00678234403333113	primary	fixed_0.01
R-HSA-168325	25	0.01	Up	0.000842404613525131	0.00705002695979284	primary	fixed_0.01
R-HSA-5576891	26	0.01	Down	0.000951416628905746	0.00788292864360375	primary	fixed_0.01
R-HSA-9610379	23	0.01	Up	0.000960217526193033	0.00788292864360375	primary	fixed_0.01
R-HSA-381042	11	0.01	Up	0.00104171566845161	0.00847131043589893	primary	fixed_0.01
R-HSA-1483257	52	0.01	Down	0.00111034364482349	0.00894501141904532	primary	fixed_0.01
R-HSA-8868766	13	0.01	Down	0.00113758225074263	0.00907959166796429	primary	fixed_0.01
R-HSA-9937008	12	0.01	Down	0.00116824438900047	0.00923877672769182	primary	fixed_0.01
R-HSA-9615933	18	0.01	Up	0.00119402797552685	0.00935683740821949	primary	fixed_0.01
R-HSA-422356	26	0.01	Down	0.00122818877035947	0.00953782630675555	primary	fixed_0.01
R-HSA-9634597	16	0.01	Down	0.00133092794334738	0.0102433918496914	primary	fixed_0.01
R-HSA-5696394	19	0.01	Up	0.0014178873474218	0.0108160964024565	primary	fixed_0.01
R-HSA-5696395	17	0.01	Up	0.00146343234346709	0.0110656024567424	primary	fixed_0.01
